회원코드,프로그램,상태,프로그램가격,최종결제금액,결제시각,결제유형,채널,보조식품가격,보조식품(추가구매)
BB1NHM9D,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-20 오후 9:16:35.904000,Recurring,direct,0,구매안함
VA2K3MG5,체중감량 프로그램 (타입 A),completed,68900,85900,2017-06-04 오후 10:02:21.160000,Recurring,facebook,17000,식이요법보조제A
WQLK0GMT,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-07-27 오후 5:43:13.880000,Recurring,facebook,0,구매안함
OWY5LSUQ,체중감량 프로그램 (타입B),cancelled,112500,129500,2017-04-11 오전 11:01:43.920000,Recurring,facebook,0,구매안함
VK7FBVOD,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-26 오전 7:28:47.040000,Recurring,facebook,0,구매안함
J4WXDNYA,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-31 오후 11:13:36.880000,Recurring,facebook,0,구매안함
XJHZM16T,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-19 오후 11:48:06.432000,Recurring,naver,0,구매안함
VE1XPFMY,체중감량 프로그램 (타입B),completed,44780,61780,2017-05-10 오전 10:46:56.808000,Recurring,facebook,17000,식이요법보조제A
V6DCQWJ4,체중감량 프로그램 (타입B),cancelled,44780,61780,2017-05-09 오전 1:01:53.648000,Recurring,facebook,0,구매안함
U49BTVX4,체중감량 프로그램 (타입 A),cancelled,112500,129500,2017-06-03 오전 1:59:11.080000,Recurring,facebook,0,구매안함
EF1RXBMC,체중감량 프로그램 (타입 A),refunded,112500,112500,2017-08-04 오후 11:46:21.616000,Recurring,facebook,0,구매안함
8HAIH6SN,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-01 오후 9:33:35.232000,Recurring,facebook,0,구매안함
5M46B6LE,체중감량 프로그램 (타입 A),cancelled,112500,129500,2017-07-10 오후 7:47:25.360000,Recurring,facebook,0,구매안함
QIHSZGOS,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-12 오전 12:36:42.096000,Recurring,facebook,0,구매안함
G5Y5V7SV,체중감량 프로그램 (타입B),completed,112500,129500,2017-05-12 오전 1:12:17.912000,Recurring,facebook,17000,식이요법보조제A
CK897JRS,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-04-18 오전 8:31:35.256000,Recurring,naver,0,구매안함
SVPTLZTH,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-22 오전 5:11:49.096000,Recurring,naver,0,구매안함
XD5EWE0X,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-28 오전 2:01:12.768000,Recurring,naver,0,구매안함
4I8ZNOUX,체중감량 프로그램 (타입B),cancelled,44780,61780,2017-04-18 오후 1:51:06.920000,Recurring,facebook,0,구매안함
NX75REJJ,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-02 오후 10:20:23.024000,Recurring,facebook,0,구매안함
ZALY47VC,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-09 오후 2:36:49.912000,Recurring,others,0,구매안함
69AT2460,체중감량 프로그램 (타입B),cancelled,112500,129500,2017-04-07 오후 4:25:07.184000,Recurring,facebook,0,구매안함
A26DAPYO,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-30 오전 4:18:06.072000,Recurring,others,0,구매안함
GF6K4KVV,체중감량 프로그램 (타입B),completed,112500,112500,2017-03-29 오전 9:48:59.016000,Recurring,facebook,0,구매안함
HCPA2G5Q,체중감량 프로그램 (타입B),completed,112500,112500,2017-04-25 오후 8:58:10.952000,Recurring,facebook,0,구매안함
EJ1CUUIK,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-20 오후 6:07:48.824000,Recurring,direct,0,구매안함
FM30KQSS,체중감량 프로그램 (타입 A),completed,112500,129500,2017-06-01 오후 11:21:21.688000,Recurring,facebook,17000,식이요법보조제A
HENMMEUZ,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-23 오전 1:55:49.432000,Recurring,facebook,0,구매안함
4UF2E9KJ,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-20 오전 12:49:22.992000,Recurring,facebook,40000,단백질보충제B
F91KD0N0,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-16 오전 1:20:43.808000,Recurring,instagram,0,구매안함
LJQHIXYW,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-03-09 오후 2:36:21.408000,Recurring,facebook,0,구매안함
CTW6U238,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-12 오전 10:32:57.776000,Recurring,naver,0,구매안함
KSTFGIQA,체중감량 프로그램 (타입B),refunded,44780,44780,2017-05-23 오후 6:35:06.016000,Recurring,others,0,구매안함
463T3YBV,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-07-31 오후 7:36:43.176000,Recurring,facebook,0,구매안함
Z07EP76V,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-09 오후 5:05:20.248000,Recurring,facebook,0,구매안함
64ETQ925,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-05-14 오후 2:42:53.112000,Recurring,naver,0,구매안함
VXKYRGC4,체중감량 프로그램 (타입 A),completed,112500,129500,2017-06-13 오후 8:15:24.384001,Recurring,facebook,17000,식이요법보조제A
LIDC3ZY5,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-27 오후 6:21:53.824000,Recurring,facebook,0,구매안함
8S7ZHZJK,체중감량 프로그램 (타입 A),cancelled,68900,68900,2017-06-01 오후 1:57:22.616000,Recurring,others,0,구매안함
HW21XD0S,체중감량 프로그램 (타입B),completed,44780,44780,2017-04-09 오후 5:18:07.176000,Recurring,facebook,0,구매안함
YECV9R06,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-17 오후 9:38:07.952000,Recurring,facebook,0,구매안함
NR6T3X1A,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-09 오후 4:25:17.408000,Recurring,facebook,0,구매안함
JTCILOB7,체중감량 프로그램 (타입B),completed,112500,112500,2017-04-23 오후 2:04:16.880000,Recurring,others,0,구매안함
BWCUVWXT,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-24 오후 5:03:21.976000,Recurring,facebook,40000,단백질보충제B
64WRUQPY,체중감량 프로그램 (타입 A),cancelled,112500,129500,2017-08-16 오전 9:50:03.856000,Recurring,facebook,0,구매안함
I8B74VTL,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-17 오전 11:02:22.000000,Recurring,naver,0,구매안함
YTVM0PHG,체중감량 프로그램 (타입B),completed,112500,112500,2017-04-20 오전 11:08:04.016000,Recurring,others,0,구매안함
IHR3NGN8,체중감량 프로그램 (타입 A),completed,118000,118000,2017-06-09 오전 6:48:04.640000,Recurring,facebook,0,구매안함
Y6BQZ0PD,체중감량 프로그램 (타입 A),cancelled,68900,68900,2017-08-09 오후 4:49:31.264000,Recurring,naver,0,구매안함
WA718K8B,체중감량 프로그램 (타입 A),refunded,112500,129500,2017-08-18 오전 11:30:38.304000,Recurring,facebook,17000,식이요법보조제A
NLE3GAQL,체중감량 프로그램 (타입B),cancelled,112500,129500,2017-03-16 오후 11:23:36.208000,Recurring,facebook,0,구매안함
5V1DSQ4H,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-31 오후 7:42:24.208000,Recurring,facebook,0,구매안함
KV48H427,체중감량 프로그램 (타입 A),cancelled,68900,68900,2017-08-26 오전 10:06:37.872000,Recurring,facebook,0,구매안함
