기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액
2023,구리시,60,여,170431,3837005706,1261,39242776,22514
2023,구리시,70,남,34608,704535127,211,7366620,20358
2023,구리시,70,여,43549,997666810,329,14461471,22909
2023,구리시,80,남,6944,136134752,41,2190169,19605
2023,구리시,80,여,7217,150470366,55,760055,20849
2023,구리시,기타,-,4287,112000992,43,1348365,26126
2023,군포시,10,남,76770,1752566906,375,22216716,22829
2023,군포시,10,여,71898,1832333585,475,32143816,25485
2023,군포시,20,남,344381,5265046697,2170,94964861,15288
2023,군포시,20,여,345869,6172343395,2484,91679700,17846
2023,군포시,30,남,424234,8688709211,3658,235250426,20481
2023,군포시,30,여,523279,11421495566,3881,205857590,21827
2023,군포시,40,남,613408,16219670443,4520,276690916,26442
2023,군포시,40,여,958492,22899080769,6892,322551936,23891
2023,군포시,50,남,587998,12236025092,4163,230173861,20810
2023,군포시,50,여,853887,15541950447,6083,217281394,18201
2023,군포시,60,남,370080,6602783988,3008,145770493,17842
2023,군포시,60,여,558376,9564752871,4619,153155598,17130
2023,군포시,70,남,120742,2058204335,937,42134466,17046
2023,군포시,70,여,159486,2628235510,1329,40560711,16479
2023,군포시,80,남,26537,442375407,215,7454739,16670
2023,군포시,80,여,31887,527473820,227,6831914,16542
2023,군포시,기타,-,5469,82920786,62,1640722,15162
2023,김포시,10,남,49456,1450919752,198,12142385,29338
2023,김포시,10,여,62754,1783550018,255,15430773,28421
2023,김포시,20,남,246694,4620840097,1184,38245740,18731
2023,김포시,20,여,335650,6793438270,1796,67665568,20240
2023,김포시,30,남,416574,11967537269,1687,96391282,28728
2023,김포시,30,여,778568,24614795984,3106,218870171,31615
2023,김포시,40,남,693013,28815361879,2767,195664679,41580
2023,김포시,40,여,1147321,44830102859,5216,333884467,39074
2023,김포시,50,남,402978,11129409824,1426,69662957,27618
2023,김포시,50,여,548866,13686755612,2411,113067267,24936
2023,김포시,60,남,185466,4171889899,699,30003694,22494
2023,김포시,60,여,232976,5707032929,1236,51486390,24496
2023,김포시,70,남,50158,1147185600,261,12077342,22871
2023,김포시,70,여,52338,1349813801,346,17347845,25790
2023,김포시,80,남,8071,195085563,33,1803768,24171
2023,김포시,80,여,7571,201382760,38,1408498,26599
2023,김포시,기타,-,127115,3612355769,975,36271816,28418
2023,남양주시,10,남,120609,3223216438,468,23512466,26725
2023,남양주시,10,여,117555,3420842899,629,34039656,29100
2023,남양주시,20,남,554924,9394721535,2811,81687893,16930
2023,남양주시,20,여,586355,11422860896,4029,126277245,19481
2023,남양주시,30,남,663753,16060223328,3599,164017051,24196
2023,남양주시,30,여,1070790,29980702547,6845,354370426,27999
2023,남양주시,40,남,1378508,46827204598,7577,445501525,33969
2023,남양주시,40,여,2178160,69219398494,13455,711148651,31779
2023,남양주시,50,남,872129,21523196648,4155,166119355,24679
2023,남양주시,50,여,929344,21752473060,5899,196364515,23406
2023,남양주시,60,남,326450,6443127916,1667,50127361,19737
2023,남양주시,60,여,328452,7650894163,2592,93396698,23294
2023,남양주시,70,남,85478,1765933756,577,16634131,20660
2023,남양주시,70,여,95155,2262447381,683,26232088,23776
2023,남양주시,80,남,17597,376550825,82,2964906,21399
2023,남양주시,80,여,17716,375075142,151,3548793,21172
2023,동두천시,10,남,3900,106593854,23,415270,27332
2023,동두천시,10,여,5568,141038814,29,1797180,25330
2023,동두천시,20,남,62422,1216212431,755,38839668,19484
2023,동두천시,20,여,60770,1277408565,674,30788416,21020
2023,동두천시,30,남,75213,1932468677,1032,85718183,25693
2023,동두천시,30,여,89512,2442484383,868,42188993,27287
2023,동두천시,40,남,129241,3859895299,1278,80581725,29866
2023,동두천시,40,여,152506,4761064514,1301,65602785,31219
2023,동두천시,50,남,128061,3055773119,997,63489524,23862
2023,동두천시,50,여,105676,2737366056,888,45490829,25903
2023,동두천시,60,남,72417,1701872064,826,59889818,23501
2023,동두천시,60,여,54353,1420010574,542,28624133,26126
2023,동두천시,70,남,20206,476650808,223,16452241,23590
2023,동두천시,70,여,12865,331069290,112,5123000,25734
2023,동두천시,80,남,4161,78605466,36,2446511,18891
2023,동두천시,80,여,3259,64407654,33,2407000,19763
2023,동두천시,기타,-,17820,470679886,163,7160592,26413
2023,부천시,10,남,106048,2550472156,473,24417635,24050
2023,부천시,10,여,112089,2710497246,616,25741114,24182
2023,부천시,20,남,858320,12366317671,4195,96955350,14408
2023,부천시,20,여,906441,14778614380,5978,149225666,16304
2023,부천시,30,남,1051750,19634705410,5402,212775553,18669
2023,부천시,30,여,1343177,28358411217,8161,342700312,21113
2023,부천시,40,남,1498371,39243590824,7511,342355211,26191
2023,부천시,40,여,2153181,52115428206,12404,510043203,24204
2023,부천시,50,남,1246082,23088468254,6305,167112705,18529
2023,부천시,50,여,1827109,30088256395,9958,230967318,16468
2023,부천시,60,남,837103,12811178191,4167,83698101,15304
2023,부천시,60,여,1283996,20199711526,8118,187416554,15732
2023,부천시,70,남,239829,3709333514,1329,29475766,15467
2023,부천시,70,여,314527,4955298747,1968,45465252,15755
2023,부천시,80,남,31257,509411981,224,6098122,16298
2023,부천시,80,여,46592,745683566,332,7052413,16005
2023,부천시,기타,-,19908,290191192,181,3159169,14577
2023,성남시,10대,남,57172,1953692569,297,14470201,34172
2023,성남시,10대,여,75556,2226348168,332,15835123,29466
2023,성남시,20대,남,274141,6234797583,2810,86335236,22743
2023,성남시,20대,여,430939,9961944875,2793,99154576,23117
2023,성남시,30대,남,480850,16167518143,1934,134942299,33623
2023,성남시,30대,여,983992,39037960469,3781,338706325,39673
2023,성남시,40대,남,610633,24751621508,2184,172821653,40534
2023,성남시,40대,여,1656387,77928928636,6362,551554571,47048
2023,성남시,50대,남,376520,12038668248,1045,69303882,31974
2023,성남시,50대,여,889370,26036539011,3278,171939648,29275
2023,성남시,60대,남,154020,3875772275,480,20198295,25164
2023,성남시,60대,여,294472,7712094699,954,49445327,26190
2023,성남시,70대,남,31032,961631596,112,6692320,30988
2023,성남시,70대,여,39376,1259972058,216,11722758,31998
2023,성남시,80대이상,남,3576,142936964,15,834758,39971
2023,성남시,80대이상,여,5805,203687167,38,1977890,35088
2023,수원시,10,남,137983,3425911604,652,35837676,24829
2023,수원시,10,여,144662,3438136987,797,40277008,23767
2023,수원시,20,남,1250300,19725598180,7098,193758506,15777
2023,수원시,20,여,1256696,22633826424,9736,270367451,18011
2023,수원시,30,남,1396777,31107315083,7974,328980188,22271
2023,수원시,30,여,1599271,41328465081,10503,514499932,25842
2023,수원시,40,남,1923316,60163305202,10525,610684261,31281
2023,수원시,40,여,2484653,71382130068,14955,742492357,28729
2023,수원시,50,남,1331037,28103538296,6554,243715651,21114
2023,수원시,50,여,1363607,26726094634,7986,235729687,19600
2023,수원시,60,남,560847,9986261139,2984,74017150,17806
2023,수원시,60,여,613597,11611761510,3996,104848978,18924
2023,수원시,70,남,130492,2442036155,735,22892909,18714
2023,수원시,70,여,157027,3093577627,1131,34915218,19701
2023,수원시,80,남,21397,398828655,113,5129192,18639
2023,수원시,80,여,20573,375717872,175,4324563,18263
2023,수원시,기타,-,14215,237605513,152,2621338,16715
2023,시흥시,10대,남,155990,7947821890,417,40523056,50951
2023,시흥시,10대,여,178265,8690418197,530,52224769,48750
2023,시흥시,10대미만,남,19393,1040715628,50,6247270,53664
2023,시흥시,10대미만,여,18382,1118099947,60,9247810,60826
2023,시흥시,20대,남,287170,7611631026,2599,79770288,26506
2023,시흥시,20대,여,450335,11322208079,2325,91804277,25142
2023,시흥시,30대,남,505942,15616997594,1526,88335229,30867
2023,시흥시,30대,여,1243268,39780952377,4151,278253962,31997
2023,시흥시,40대,남,721722,31607828824,1959,164509304,43795
2023,시흥시,40대,여,1742618,72932984800,5601,456912550,41853
2023,시흥시,50대,남,430066,13946567166,848,61102191,32429
2023,시흥시,50대,여,1038587,27697051770,2421,124600674,26668
